אני i
אתה you
אתם you
אתן you
הוא he
היא she
זה it
שם name
שמות names
מנהל manager
מנהלים managers
חבר_כיתה classmate
חברת_כיתה classmate
חברי_כיתה classmates
רשימה list
רשימות lists
לוח board
ועד_מנהל board
קרש board
לעלות board
להתאכסן board
לוחות boards 
קרשים boards
ילקוט book_bag
תיק_ספרים book_bag
תיק bag
שק bag
לארוז bag
שקית bag
שק bag
תרמיל bag
שקים bags
שקיות bags
תיקים bags 
תיק_גב backpack
תרמיל_גב backpack 
לטייל_כתרמילאי backpack
ילקוט backpack
ילקוטים backpacks
תיקי_גב backpacks
תיק_צד purse
ארנק purse wallet
ארנק_נשי purse
לקפוץ_שפתיים purse
ארנקי_נשים purses
ארנקים wallets
טלפון_נייד cellphone cellular_phone mobile_phone
טלפון_סלולרי cellphone cellular_phone mobile_phone
פלאפון cellphone cellular_phone mobile_phone
טלפונים_ניידים
פלאפונים cellphones
מצלמה camera
מצלמות cameras
דלת door
דלתות doors
קליד key
מפתח key
מקש key
לכוון_כלי_מוזיקה key
קלידים keys
מפתחות keys
משפחה family
משפחות families
יהודי Jew
יהודיה Jew
יהודים Jews
הורה parent
לשמש_כהורה parent
לחנך parent
הורים parents
אסיה Asia
אירופה Europe
ארץ country
ארצות countries
מדינה state
מצב state
להצהיר state
להביע state
מביע state
מצהיר state
מצהירים state
מביעות state
מדינות states
מצבים states
מספר number
לספור number
מספרים numbers 
גיל age
להזקין age
מזדקן age
מזדקנים age
גילאים ages
אנחנו we
אמריקאי American
אמריקאים Americans
אנשים people
עם people with
בני_אדם people
אומה people
אומות peoples
עמים peoples
חולצה shirt
כותנת shirt
חולצות shirts
מכנסיים pants trousers
להתנשף pant
התנשמות pant
התנפשות pant 
טי_שירט t-shirt
חולצת_טי t-shirt
מכנסיים_קצרים shorts
לקצר short
קצר short
לגרום_לקצר_חשמלי short
ז'קט jacket
עטיפה jacket
כיסוי jacket
ז'קטים jackets
מגפיים boots
מגף boot
תא_מטען boot
להעיף_החוצה boot
חגורה belt
רצועה belt
איזור belt
עניבה tie
לקשור tie
קושר tie
קושרים tie
קושרות tie
תיקו tie
שיויון tie
להשתוות tie
ילד child
ילדים children
שנה year
כינוס Convention




